Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776895632,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776895633,25,,Aggregated,0.000000,0.000000,5,5,5,5,5,6,6,12,21,23,23,4386,0,5,4.947292282107183,1.9290699856355786,22.728346986696124,95.15070679434565
1776895634,50,,Aggregated,0.000000,0.000000,7,9,9,10,10,11,13,17,23,26,26,9034,0,7,7.186063335736977,1.9290699856355786,26.307997992262244,95.18242196147885
1776895635,50,,Aggregated,1788.000000,0.000000,8,9,10,10,11,12,14,17,22,26,26,13694,0,8,7.940460105617173,1.9290699856355786,26.307997992262244,95.07200233678984
1776895636,50,,Aggregated,3163.500000,0.000000,9,9,10,10,11,12,14,17,21,26,26,18327,0,9,8.309280186059276,1.9290699856355786,26.307997992262244,95.05723795492989
1776895637,50,,Aggregated,3673.333333,0.000000,9,10,10,10,11,12,15,17,21,26,26,22960,0,9,8.548132481217447,1.9290699856355786,26.307997992262244,95.02896341463415
1776895638,50,,Aggregated,3906.250000,0.000000,9,10,10,10,11,12,15,17,21,26,26,27617,0,9,8.674897548208456,1.9290699856355786,26.307997992262244,95.03371111996235
1776895639,50,,Aggregated,4046.000000,0.000000,9,10,10,10,11,12,15,17,21,23,26,32205,0,9,8.78618706369527,1.9290699856355786,26.307997992262244,95.02940537183667
1776895640,50,,Aggregated,4138.500000,0.000000,9,10,10,10,11,12,15,17,21,23,26,36875,0,9,8.852410707226559,1.9290699856355786,26.307997992262244,95.04113898305084
1776895641,50,,Aggregated,4212.857143,0.000000,9,10,10,10,11,12,16,17,30,32,32,41509,0,9,8.942279960189698,1.9290699856355786,32.33406401704997,95.05374738008625
1776895642,50,,Aggregated,4255.875000,0.000000,9,10,10,10,11,12,16,17,30,32,32,46226,0,9,8.974297247251176,1.9290699856355786,32.33406401704997,95.06567732444944
